"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13"
"PD44580_1" 0.0031959649122807 0.48276298245614 0.000585789473684211 0.00489631578947368 0.260930877192982 0.230504736842105 0.00449315789473684 0.0102519298245614 0.00209315789473684 0.000194385964912281 3.33333333333333e-06 1.50877192982456e-05 1.14035087719298e-05 6.08771929824561e-05
"PD44580_10" 0.00403526315789474 0.612584210526316 0.00793578947368421 0.0221264912280702 0.137104561403509 0.183575438596491 0.0247387719298246 0.00632754385964912 0.00124333333333333 0.000268245614035088 5.26315789473684e-07 2.29824561403509e-05 1e-05 2.68421052631579e-05
"PD44580_11" 0.00251036364590439 0.541919504643963 0.000714698011229469 0.00526866768116703 0.223608385370205 0.209913942383376 0.00567665424778297 0.0088846618040615 0.0012423256546151 0.000223277535813612 2.36133704150706e-06 4.19793251823477e-06 9.44534816602823e-06 2.15144041559532e-05
"PD44580_12" 0.00215247420877776 0.609463192865886 0.00196421285772571 0.00466281984029842 0.226466748266014 0.13562569213732 0.00876493559480096 0.00890248878008976 0.00175380311243224 0.000191175613452235 5.24567232033572e-06 1.86512793611937e-05 8.15993472052223e-06 2.03998368013056e-05
"PD44580_13" 0.00367508771929825 0.60614 0.000830175438596491 0.00661824561403509 0.218170877192982 0.147254385964912 0.00701929824561404 0.0086419298245614 0.00120263157894737 0.000397719298245614 2.80701754385965e-06 8.59649122807018e-06 3.15789473684211e-06 3.50877192982456e-05
"PD44580_14" 0.0296649122807018 0.652922631578947 0.000101052631578947 0.112602631578947 0.0635040350877193 0.115529122807018 0.0209231578947368 0.00198087719298246 0.00057140350877193 0.000755087719298246 1.45614035087719e-05 0.00109228070175439 8.94736842105263e-06 0.000329298245614035
"PD44580_15" 0.0439301754385965 0.628658245614035 0.000159473684210526 0.160360350877193 0.0459638596491228 0.0865298245614035 0.0308489473684211 0.00162666666666667 0.00081859649122807 0.000311578947368421 5.78947368421053e-06 0.000356491228070175 5.08771929824561e-06 0.000424912280701754
"PD44580_16" 0.0360208771929825 0.623044912280702 7.84210526315789e-05 0.117719649122807 0.0403166666666667 0.099579649122807 0.0799470175438596 0.00106035087719298 0.00071280701754386 0.000310877192982456 3.68421052631579e-06 0.000742982456140351 3.50877192982456e-07 0.000461754385964912
"PD44580_17" 0.0215050877192982 0.664568596491228 0.000393333333333333 0.0961731578947368 0.0472329824561403 0.144762105263158 0.0211484210526316 0.00180421052631579 0.000752631578947368 0.000848947368421053 1.87719298245614e-05 0.000494912280701754 4.3859649122807e-06 0.000292456140350877
"PD44580_18" 0.0140531578947368 0.699663684210526 0.000299649122807018 0.105887719298246 0.0613070175438597 0.0801726315789474 0.0350571929824561 0.00223210526315789 0.000384736842105263 0.000778421052631579 3.50877192982456e-05 6.64912280701754e-05 2.10526315789474e-05 4.10526315789474e-05
"PD44580_2" 0.0129316503929507 0.453161467015956 0.000902595856156228 0.0123124553465111 0.239884496308645 0.252853060252441 0.00995951417004049 0.0105334603477018 0.00671826625386997 0.000401286020481067 2.38151940938319e-05 7.0254822576804e-05 4.88211478923553e-05 0.000198856870683496
"PD44580_21" 0.00574982456140351 0.63371350877193 0.000291052631578947 0.0292478947368421 0.139557543859649 0.154761754385965 0.00842842105263158 0.0052 0.0226119298245614 0.000375438596491228 7.36842105263158e-06 3.43859649122807e-05 5.96491228070175e-06 1.49122807017544e-05
